Date,,Who,What,Year,Link,Best,Score (1-10)
,,,,,,,
01/04/2017,,Bombay Bicycle Club,"So Long, See You Tomorrow",2014,https://music.yandex.ru/album/1763726,,7
02/04/2017,,Foals,What Went Down,2015,https://music.yandex.ru/album/2932348,Give It All,8
03/04/2017,, Broken Bells,After the Disco,2014,https://music.yandex.ru/album/2044142,,"7,5"
04/04/2017,,Mac DeMarco,Mac DeMarco,2014,,One Call Away,8
05/04/2017,,Charlie Puth,Nine Track Mind,2016,https://music.yandex.ru/album/3211632,,"8,5"
06/04/2017,,Meghan Trainor,Title,2015,https://music.yandex.ru/album/2438173,,8
07/04/2017,,Shawn Mendes,Handwritten (Revisited),2015,https://music.yandex.ru/album/3090591,,8
08/04/2017,,Moby,Play,1999,https://music.yandex.ru/album/30150,,9.5
09/04/2017,,The War On Drugs,Slave Ambient,2011,https://music.yandex.ru/album/255238,,7
10/04/2017,,Jason Derulo,Tattoos,2013,https://music.yandex.ru/album/2480308,,8
11/04/2017,,Beyoncé,B'Day ,2007,https://music.yandex.ru/album/67348,,8
12/04/2017,,The War On Drugs,Lost In The Dream,2014,youtube,,7
13/04/2017,,Justin Timberlake,The 20/20 Experience - The Complete Experience,2014,,,10
14/04/2017,,White Lies,BIG TV,2013,https://music.yandex.ru/album/1547192,Goldmine,8
15/04/2017,,Kelis,Tasty,2003,https://music.yandex.ru/album/35145,,7
16/04/2017,,Kanye West,Graduation,2007,https://music.yandex.ru/album/2497633,,8
17/04/2017,, James Bay,Chaos And The Calm,2014,https://music.yandex.ru/album/2658379,,9
18/04/2017,,Valerie June,The Order Of Time,2017,https://music.yandex.ru/album/4183297,,"7,5"
19/04/2017,,Zara Larsson,So Good,2017,https://music.yandex.ru/album/4207671,I Can't Fall in Love Without You,7
20/04/2017,,Ivan Dorn,OTD,2017,somewhere in VK,,9.5
21/04/2017,,One Republic,Native,2013,https://music.yandex.ru/album/1990711,,7.5
22/04/2017,,One Republic,Dreaming Out Loud,2008,https://music.yandex.ru/album/2492816,,7.5
23/04/2017,,Anderson .Paak,Malibu,2016,https://music.yandex.ru/album/3150072,,9.5
24/04/2017,,Parov Stelar,The Burning Spider,2017,https://music.yandex.ru/album/4114352,,10
25/04/2017,,Alex Clare,The Lateness Of The Hour,2011,https://music.yandex.ru/album/440668,,9
26/04/2017,,Alex Clare,Three Hearts,2014,https://music.yandex.ru/album/2110710,,"8,5"
27/04/2017,, Alicia Keys,HERE,2016,https://music.yandex.ru/album/3901515,,9
28/04/2017,,Katy Perry,One Of The Boys,2008,https://music.yandex.ru/album/51178,,7
29/04/2017,,Of Monsters and Men,Beneath The Skin ,2015,https://music.yandex.ru/album/2788794,,"7,5"
30/04/2017,,Florence + The Machine,Ceremonials,2011,https://music.yandex.ru/album/521767,,8.1